"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT01311518","A Study of the Safety and Efficacy of Injectable Thymosin Beta 4 for Treating Acute Myocardial Infarction",,"Suspended","No Results Available","Acute Myocardial Infarction|ST Elevation Myocardial Infarction|STEMI","Drug: Drug: Placebo|Drug: Drug: Injectable Thymosin beta 4","Total MRI infarct zone derived from cardiac MRI scan|MRI-derived myocardial salvage index, mass, Left Ventricle (LV) ejection fraction,systolic and end diastolic volumes","RegeneRx Biopharmaceuticals, Inc.","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","75","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","RGN-MI-201","March 2016","March 2019","August 2019","March 9, 2011",,"March 24, 2015","St. Vincent Indianapolis Hospital, Indianapolis, Indiana, United States|The Valley Hospital, Ridgewood, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01311518"
2,"NCT01979965","Effect of Ranolazine on Valvular Disease in Patients With Pacemakers","REIN-MR","Unknown status","No Results Available","Ischemic Mitral Regurgitation","Drug: Ranolazine (Active drug)|Drug: Placebo","effective regurgitant orifice by echocardiography|proximal isovelocity surface area by echocardiography|Seattle Angina Questionnaire|Rose Dyspnea Scale","University Cardiology","All","18 Years and older   (Adult, Older Adult)","Phase 4","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Supportive Care","IN-US-259-0173","November 2013","May 2014","September 2014","November 8, 2013",,"November 8, 2013","University Cardiology, Knoxville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT01979965"
3,"NCT02252783","BFPET for Regional Myocardial Perfusion Imaging",,"Not yet recruiting","No Results Available","Coronary Artery Disease","Drug: BFPET","Sensitivity and specificity of BFPET|Primary safety endpoints - ECG, physical examinations, vital signs, laboratory and adverse event assessments","Fluoropharma, Inc.","All","21 Years to 85 Years   (Adult, Older Adult)","Phase 2","40","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","BFPET P-02","October 1, 2018","May 30, 2019","September 30, 2019","September 30, 2014",,"August 1, 2018","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT02252783"
4,"NCT01103843","Plavix, Prasugrel and Drug Eluting Stents Pilot Trial","PPD","Unknown status","No Results Available","Coronary Artery Disease|Platelet Aggregation Inhibitors|PCI- Percutaneous Coronary Intervention","Drug: Loading Dose Arm|Drug: Maintenance Dose Arm","Change in platelet reactivity after switching medication regimen of two thienopyridines- clopidogrel and prasugrel|Occurrence of all bleeding events for subjects enrolled into the trial|Occurrence of all MACE events for subjects enrolled into the trial","St. Francis Hospital, New York","All","21 Years to 75 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","10-006","April 2010","April 2011","May 2011","April 15, 2010",,"April 15, 2010","St. Francis Hospital, Roslyn, New York, United States",,"https://ClinicalTrials.gov/show/NCT01103843"
5,"NCT01499134","Comparison of 2 Beta Blocker Drugs on Peripheral Arterial Disease in Patients With High Blood Pressure","ENCOMPASS","Completed","Has Results","Peripheral Artery Disease|Hypertension","Drug: nebivolol|Drug: Metoprolol succinate","Peak Walking Time (PWT)|Ankle-brachial Index (ABI)|Claudication Onset Time (COT)|Walking Impairment Questionnaire (WIQ) - Change Calf Pain|Walking Impairment Questionnaire (WIQ) - Change in Buttock Pain|Walking Impairment Questionnaire (WIQ) - Change in WIQ Distance Score|Walking Impairment Questionnaire (WIQ) - Change in WIQ Speed Score|Walking Impairment Questionnaire (WIQ) - Change in WIQ Stairs Score","Thomas Jefferson University|Forest Laboratories","All","18 Years and older   (Adult, Older Adult)","Phase 3","17","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","11C.18","August 2011","June 2014","June 2014","December 26, 2011","December 3, 2014","December 17, 2014","Thomas Jefferson University, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01499134"
6,"NCT01170338","Safety and Efficacy of the Novel Selective Nicotinic Receptor Partial Agonist, CHANTIX (Varenicline) in Patients With Acute Coronary Syndrome",,"Unknown status","No Results Available","Smoking|Acute Coronary Syndrome","Drug: Varenicline 100 mg by mouth twice daily|Drug: control","nicotine levels|recurrent myocardial ischemia","Newark Beth Israel Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2008.68","January 2008","July 2011",,"July 27, 2010",,"July 27, 2010","Newark Beth Israel Medical Center, Newark, New Jersey, United States",,"https://ClinicalTrials.gov/show/NCT01170338"
7,"NCT01767987","Ranolazine Cardioprotection in PCI",,"Terminated","Has Results","Acute Coronary Syndrome","Drug: Ranolazine|Drug: Placebo","Troponin|CK-MB|TIMI Flow Rate (Grade)|Incidence of Atrial Fibrillation, Ventricular Tachycardia, or Ventricular Fibrillation in Coronary Cath Lab|Incidence of Non-sustained Ventricular Tachycardia or Atrial Fibrillation Post PCI|Left Ventricular End Diastolic Pressure (LVEDP)|Death, Myocardial Infarction (Biomarker Greater Than 2x Normal), CHF, Cardiac Arrest|Death, MI, Revascularization, CHF|Successful PCI","Harvey Hahn|Gilead Sciences|Kettering Health Network","All","18 Years and older   (Adult, Older Adult)","Phase 2","6","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Prevention","ISR IN-US-259-0139","November 2012","April 2014","April 2014","January 15, 2013","November 20, 2015","September 14, 2017","Kettering Medical Center, Kettering, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01767987"
8,"NCT01681095","Custodiol-HTK (Histidine-tryptophan-ketoglutarate) Solution as a Cardioplegic Agent",,"Completed","Has Results","Coronary Artery Disease|Myocardial Ischemia|Coronary Disease|Heart Diseases|Valvular Heart Disease","Drug: Custodiol HTK|Drug: Cold Blood Cardioplegia","Change in Creatine Phosphokinase-MB Isoenzyme (CK-MB)|Change in Troponin I|Changes in Left Ventricular (LV) Ejection Fraction (EF) by Transthoracic Echocardiogram (TTE)|Cardiac Dysrhythmias|All Cause Mortality|Cardiovascular Mortality|Time on Mechanically Assisted Ventilation|Duration of Vasopressor / Inotropic Agent|Postoperative Inotropic Infusion >20 Minutes|Intensive Care Unit (ICU) Length of Stay|Myocardial Infarction|Biochemical Marker - Creatine Kinase MB Isoenzyme (CK-MB)|Cardiac Marker - Troponin-I","Marc Sakwa, MD|Essential Pharmaceuticals, LLC|William Beaumont Hospitals","All","18 Years and older   (Adult, Older Adult)","Phase 2","110","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2012-125","August 2012","August 2014","April 2016","September 7, 2012","March 1, 2017","August 6, 2019","William Beaumont Hospital, Royal Oak, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT01681095"
9,"NCT01234870","Comprehensive Evaluation of Ischemic Heart Disease Using MRI",,"Completed","Has Results","Heart Disease, Ischemic|Atherosclerosis, Coronary","Drug: Gadolinium|Drug: Adenosine","Magnetic Resonance Image Quality Rating|Number of Participants With Adverse Events to Demonstrate Feasibility of a Comprehensive Cardiac Magnetic Resonance Imaging Protocol","Northwestern University|Astellas Pharma US, Inc.|Bayer Healthcare Pharmaceuticals, Inc./Bayer Schering Pharma","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","40","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CR1_STU00006013|ASCA-9J02","June 2010","January 2012","January 2012","November 4, 2010","September 26, 2014","September 26, 2014","Northwestern University, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT01234870"
10,"NCT01072669","Efficacy of Ambrisentan in Limited Scleroderma Patients in Improving Blood Flow to Hands or Feet","ambrisentan","Completed","Has Results","Ischemia","Drug: ambrisentan","Digital Micro-vascular Flow","Soumya Chatterjee|Gilead Sciences|The Cleveland Clinic","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","20","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","nbose2010","February 2010","December 2010","December 2010","February 22, 2010","May 3, 2013","May 3, 2013","Nilanjana Bose, Md, Cleveland, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT01072669"
