"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT04208997","Continuation of Antiarrhythmics Following Ventricular Tachycardia Catheter Ablation","AFTER-VT","Recruiting","No Results Available","Tachycardia, Ventricular|Catheter Ablation","Drug: Antiarrhythmic drug","VT-free survival|All-cause mortality|VT recurrence|VT/electrical storm|Readmission for heart failure","Vanderbilt University Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 3","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","191113","December 21, 2019","September 30, 2022","September 30, 2022","December 23, 2019",,"December 23, 2019","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT04208997"
2,"NCT01721447","Efficacy of Optison Echo Contrast to Detect Thrombus in Left Atrial Appendage","DOLOP","Completed","Has Results","Atrial Fibrillation","Drug: Optison echocardiography contrast agent","Percent Confidence in Assessment of Left Atrial Appendage Thrombus|Concordance Between Echo Readers in Determining Presence or Absence of Thrombus in the Left Atrial Appendage","University of Utah","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 4","100","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","11-OPT-018 GE","June 2013","May 2018","May 2018","November 4, 2012","June 4, 2019","August 20, 2019","University of Utah, Salt Lake City, Utah, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/47/NCT01721447/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT01721447"
3,"NCT02347111","Pharmacogenetic Study of Antiarrhythmic Drugs for Atrial Fibrillation",,"Recruiting","No Results Available","Atrial Fibrillation","Drug: Flecainide|Drug: Sotalol","AF burden (Percent of time subject is in atrial fibrillation)","University of Illinois at Chicago|Medtronic","All","18 Years and older   (Adult, Older Adult)","Phase 4","10","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VR9644","February 2015","June 2020","June 2020","January 27, 2015",,"May 3, 2018","University of Illinois at Chicago, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT02347111"
4,"NCT01505296","Catheter Ablation for Recently Diagnosed Paroxysmal Atrial Fibrillation","CABAL","Withdrawn","No Results Available","Atrial Fibrillation","Drug: Antiarrhythmic drug|Procedure: Catheter ablation","Percentage of AF burden|All-death death","Valley Health System|Biosense Webster, Inc.","All","Child, Adult, Older Adult","Phase 4","0","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BWI-IIS-0143","December 2011","January 2014","January 2014","January 6, 2012",,"December 16, 2014","Valley Health System, Ridgewood, New Jersey, United States|State Research Institute of Circulation Pathology, Novosibirsk, Russian Federation",,"https://ClinicalTrials.gov/show/NCT01505296"
5,"NCT03035227","Catheter Ablation of Arrhythmias to Improve CRT Response","ABLATE-CRT","Terminated","No Results Available","Arrhythmia, Cardiac","Procedure: Catheter Ablation|Drug: Anti-Arrhythmics","Change in Ejection Fraction (EF)|Bi-ventricular pacing improvement|Cardiovascular mortality|All-cause mortality|Hospital admissions for heart failure exacerbation|New York Heart Association (NYHA) class change|Change in 6 minute walk test|Change in Quality of Life - SF-36|Change in Quality of Life Kansas City Cardiomyopathy Questionnaire (KCCQ)","Kansas City Heart Rhythm Institute|Biosense Webster, Inc.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","2","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STUDY00003861","January 23, 2017","May 1, 2018","May 1, 2018","January 27, 2017",,"September 30, 2019","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT03035227"
6,"NCT01764711","Adrenocorticotropic Hormone Stimulation in Postural Orthostatic Tachycardia Syndrome (POTS)",,"Active, not recruiting","No Results Available","Postural Tachycardia Syndrome","Drug: Cosyntropin administration","Adrenal responsiveness to adrenocorticotropin hormone. (ACTH)","Vanderbilt University|National Institutes of Health (NIH)|National Heart, Lung, and Blood Institute (NHLBI)|Vanderbilt University Medical Center","All","18 Years to 50 Years   (Adult)","Not Applicable","50","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","120612|R01HL102387","January 2013","December 2020","December 2020","January 9, 2013",,"February 7, 2020","Vanderbilt University Medical Center, Nashville, Tennessee, United States",,"https://ClinicalTrials.gov/show/NCT01764711"
7,"NCT02177266","Colchicine to Prevent Post-Pericardiotomy Syndrome and Atrial Fibrillation",,"Terminated","Has Results","Atrial Fibrillation|Post-pericardiotomy Syndrome|Constriction","Drug: Colchicine|Drug: Placebo","Number of Patients With Post Cardiac Surgery Atrial Fibrillation or Post-pericardiotomy Syndrome.|Trans-thoracic Echocardiography for Constriction","Mayo Clinic","All","40 Years and older   (Adult, Older Adult)","Phase 3","2","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","13-008553","May 2015","November 2016","November 2016","June 27, 2014","June 21, 2017","June 21, 2017","Mayo Clinic, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT02177266"
8,"NCT03702582","Rivaroxaban vs. Warfarin for Post Cardiac Surgery Atrial Fibrillation","NEW-AF","Active, not recruiting","No Results Available","Atrial Fibrillation|Stroke|Bleeding","Drug: Rivaroxaban|Drug: Warfarin","Postoperative Length of Stay|Episode of Major Bleeding (Defined as the occurrence of any of several events listed in the description. No specific scale, questionnaire or instrument will be used)|Cerebrovascular accident (CVA)|Other systemic embolism|Deep venous thrombosis (DVT) and/or Pulmonary Embolism (PE)|Minor Bleeding|Number of Transfusions|Hospital Readmission|Therapy related costs of anticoagulation|Performance on the EUROQOL (EQ-5D) Quality of Life Instrument|Average score on the Perception of Anticoagulant Treatment Questionnaire (PACT-Q2)|Rate of ongoing atrial fibrillation|Rate of Mortality|Rates of adverse clinical outcomes","Massachusetts General Hospital","All","18 Years and older   (Adult, Older Adult)","Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","2018P002307","April 30, 2019","April 1, 2022","May 1, 2022","October 11, 2018",,"March 18, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03702582"
9,"NCT02932007","Chloroquine for Patients With Symptomatic Persistent Atrial Fibrillation: A Prospective Pilot Study",,"Recruiting","No Results Available","Atrial Fibrillation","Drug: Chloroquine Phosphate","Proportion of patients with termination of AF|Percentage of AF burden|QT intervals|Time to AF termination|Percentages of classifications of rhythms identified|PR interval|QRS duration","University of South Florida","All","18 Years and older   (Adult, Older Adult)","Phase 2","40","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Chloroquine AF","March 28, 2017","March 2020","September 2020","October 13, 2016",,"August 19, 2019","University of South Florida, Tampa, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02932007"
10,"NCT02666742","Safety and Efficacy of Periprocedural Apixaban Use for Reduction of the Risk of Cerebrovascular Events in Patients Undergoing Ventricular Tachycardia Radiofrequency Catheter Ablation","STROKE-VT","Terminated","No Results Available","Ventricular Tachycardia","Drug: Apixaban|Drug: Aspirin","Incidence of asymptomatic or symptomatic cerebrovascular embolic and systemic thromboembolic events|Incidence of major periprocedural bleeding|Incidence of minor periprocedural bleeding|All cause mortality","Kansas City Heart Rhythm Institute|Bristol-Myers Squibb","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","4","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STUDY00003241|CV185-415","February 16, 2017","May 1, 2018","May 1, 2018","January 28, 2016",,"May 2, 2019","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT02666742"
