"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT02785120","A Study to Evaluate the Efficacy and Safety of TF0023 Spray on Subjects With Ischemic Strokes","TF0023","Recruiting","No Results Available","Ischemic Stroke","Drug: TF0023","The primary efficacy endpoint is the change from baseline in the mRS score for all randomized patients at Week 16 in Part A and Part B.|Death due to any cause after signing the informed consent form through Week 16 and Week 32.|Recurrent stroke after signing the informed consent form through Week 16 and Week 32.|NIHSS score changes after signing the informed consent form through Week 16 and Week 32.|Barthel Index (BI) changes after signing the informed consent form through Week 16 and Week 32.|Extended Glasgow Outcome Scale (GOS-E) changes after signing the informed consent form through Week 16 and Week 32.|Shortening the time for performing the timed Trail-Making Tests|Volume of new fluid attenuation inversion recovery (FLAIR) lesions by DTI-MRI|Blood flow in neck arteries by Ultrasonography after signing the informed consent form through Week 16 and Week 32.|Improvement of atherosclerosis in neck arteries by Ultrasonography after signing the informed consent form through Week 16 and Week 32.|Daily activities changes after signing the informed consent form through Week 16 and Week 32.|Sleeping condition changes after signing the informed consent form through Week 16 and Week 32.|Total cholesterol, triglycerides, high density lipoprotein cholesterol (HDL-C), low-density lipoprotein cholesterol (LDL-C), and very low density lipoprotein cholesterol (VLDL C) changes|Blood pressure changes after signing the informed consent form through Week 16 and Week 32.|To access hemoglobin A1C (HbA1C) changes after signing the informed consent form through Week 16 and Week 32.|To access patient's assessment of disease status|To access investigator's assessment of disease status|To access patient's assessment of response to therapy|To access investigator's assessment of response to therapy","Techfields Inc","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 2","225","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","TF-TF0023-21","March 1, 2017","October 2020","December 2020","May 27, 2016",,"September 26, 2019","Four Peaks Neurology, Scottsdale, Arizona, United States|General Neuronology, Scottsdale, Arizona, United States|Colorado Springs Neurological Associates, Colorado Springs, Colorado, United States|CarePoint, P.C. dba Blue Sky Neurology, Englewood, Colorado, United States|Tenet South Florida / Delray Medical Center, Delray Beach, Florida, United States|The Neurology Research Group, Miami, Florida, United States|Florida Hospital of Orlando, Orlando, Florida, United States|Florida Hospital Orlando, Orlando, Florida, United States|Central Baptist Hospital, Lexington, Kentucky, United States|Henry Ford Health System, Detroit, Michigan, United States|Midwest Physicians Group, Kansas City, Missouri, United States|Washington University School of Medicine - Center for Advanced Medicine (CAM) - Neuroscience Center, Saint Louis, Missouri, United States|Renown Medical Group, Reno, Nevada, United States|Hackensack Neurology Group, Hackensack, New Jersey, United States|Icahn School of Medicine at Mount Sinai (ISMMS) - Institute for Critical Care Medicine, New York, New York, United States|Neurology and Neuroscience Associates, Akron, Ohio, United States|The Ohio State University Wexner Medical Center (OSUWMC) - Neurovascular Stroke Center, Columbus, Ohio, United States|Providence Stroke Center, Portland, Oregon, United States|Neurovascular Associates of Abington, Abington, Pennsylvania, United States|Coastal Nurology, Port Royal, South Carolina, United States|Chattanooga Neurology Associates - Memorial Office, Chattanooga, Tennessee, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Neurology Associates of Arlington, PA, Mansfield, Texas, United States|VCU Medical Center, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT02785120"
2,"NCT02180204","Tenecteplase Versus Alteplase in Ischemic Stroke Management (TALISMAN)","TALISMAN","Withdrawn","No Results Available","Ischemic Stroke","Drug: Tenecteplase|Drug: Alteplase","Neurological outcome|Symptomatic intracranial hemorrhage","Reza Behrouz, DO|Ohio State University","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2|Phase 3","0","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","2013H000|TALISMAN","January 2015","June 2020","June 2020","July 2, 2014",,"September 23, 2015","The Ohio State University College of Medicine, Columbus, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT02180204"
3,"NCT01896128","Combining Armodafinil With Neuro-rehabilitation to Improve Neurological Recovery and Reduce Disability Post-Stroke",,"Completed","Has Results","Stroke|Cerebrovascular Accident|Hemiparesis","Drug: Armodafinil|Drug: Placebo","Change in Fugl-Meyer Assessment of Sensorimotor Function From Baseline to Day 100|Change in Functional Independence Measure (FIM) From Baseline to Day 100|Timed 3-Minute Walk Test From Baseline to Day 100|NIH Stroke Scale (NIHSS)|9-Hole Peg Test","Burke Rehabilitation Hospital|Teva Pharmaceutical Industries","All","18 Years and older   (Adult, Older Adult)","Phase 2","19","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","BRC-394","January 2008","July 2015","July 2015","July 11, 2013","November 4, 2019","November 4, 2019","The Burke Rehabilitation Hospital, White Plains, New York, United States",,"https://ClinicalTrials.gov/show/NCT01896128"
4,"NCT00868010","Enhancing Rehabilitation After Stroke","Enhance","Unknown status","No Results Available","Ischemic Stroke","Drug: donepezil|Drug: placebo","Functional Independence Measure (FIM)|Cognitive Function (ImPACT battery used to assess attention - working memory continuum, information processing speed, and verbal and visual episodic memory.)","Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)","All","18 Years and older   (Adult, Older Adult)","Phase 3","200","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1R01HD055525|NIH grant: 1 R01 HD055525-01A2","March 2009","August 2013","November 2013","March 24, 2009",,"March 5, 2013","Hillside Rehabilitation Hospital, Warren, Ohio, United States|University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT00868010"
5,"NCT02666742","Safety and Efficacy of Periprocedural Apixaban Use for Reduction of the Risk of Cerebrovascular Events in Patients Undergoing Ventricular Tachycardia Radiofrequency Catheter Ablation","STROKE-VT","Terminated","No Results Available","Ventricular Tachycardia","Drug: Apixaban|Drug: Aspirin","Incidence of asymptomatic or symptomatic cerebrovascular embolic and systemic thromboembolic events|Incidence of major periprocedural bleeding|Incidence of minor periprocedural bleeding|All cause mortality","Kansas City Heart Rhythm Institute|Bristol-Myers Squibb","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","4","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","STUDY00003241|CV185-415","February 16, 2017","May 1, 2018","May 1, 2018","January 28, 2016",,"May 2, 2019","University of Kansas Medical Center, Kansas City, Kansas, United States",,"https://ClinicalTrials.gov/show/NCT02666742"
6,"NCT02054429","Intensive Insulin Therapy With Tight Glycemic Control to Improve Outcomes After Endovascular Therapy for Acute Ischemic Stroke",,"Unknown status","No Results Available","Ischemic Stroke","Drug: Insulin","Stroke Scale|MRI","University at Buffalo","All","18 Years to 85 Years   (Adult, Older Adult)","Phase 1","100","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","INSULIN","January 2013","December 2016","December 2018","February 4, 2014",,"February 4, 2014","University of Buffalo Neurosurgery, Buffalo, New York, United States",,"https://ClinicalTrials.gov/show/NCT02054429"
7,"NCT02142712","Histamine Glutamate Antagonism in Stroke",,"Completed","Has Results","Acute Cerebrovascular Accident|Cerebral Edema","Drug: Diphenhydramine|Drug: Pantoprazole|Drug: Famotidine|Drug: Dextromethorphan","Modified Rankin Score|National Institutes of Health Stroke Severity (NIHSS) Scale|Glasgow Coma Scale (GCS)|Barthel Index","University of Florida","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","3","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","201400353","December 2014","December 2014","December 2014","May 20, 2014","December 15, 2015","December 15, 2015","Shands Hospital at University of Florida, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02142712"
8,"NCT02235558","Superselective Administration of VErapamil During Recanalization in Acute Ischemic Stroke","SAVER-I","Completed","No Results Available","Ischemic Stroke","Drug: Verapamil","The primary endpoint will be the presence or absence of intracranial hemorrhage|Absence of intracranial hemorrhage","Justin Fraser|University of Kentucky","All","21 Years to 85 Years   (Adult, Older Adult)","Phase 1","11","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","12-0975-F1V","February 1, 2013","March 21, 2016","March 21, 2016","September 10, 2014",,"January 23, 2017","University of Kentucky Deparment of Neurosurgery, UK Chandler Hospital, Lexington, Kentucky, United States",,"https://ClinicalTrials.gov/show/NCT02235558"
9,"NCT02838901","Dietary Nitrate Supplements and Ischemic Stroke Recovery",,"Completed","Has Results","Stroke|Ischemic Stroke|Cerebrovascular Accident","Drug: Beet it Beetroot juice|Drug: Beet It Placebo Beetroot juice","Adherence With Intervention|Number of Participants With Adverse Treatment-altering Events|Change in Plasma Nitrate Levels, Micromoles/Liter|Change in Plasma Nitrite Levels, Micromoles/Liter|Gait Speed Change From Baseline|Cerebral Perfusion Imaging|Upper Extremity Grip Strength|Montreal Cognitive Assessment (MoCA) Score|Modified Rankin Score","Wake Forest University Health Sciences","All","18 Years and older   (Adult, Older Adult)","Phase 2","18","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","IRB00020739","June 2012","June 2016","June 2016","July 20, 2016","April 10, 2018","April 10, 2018","Wake Forest School of Medicine, Winston-Salem, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT02838901"
10,"NCT00836355","Enoxaparin and/or Minocycline in Acute Stroke",,"Terminated","Has Results","Acute Ischemic Stroke","Drug: Enoxaparin|Drug: Minocycline","Indices of Salvaged Ischemic Penumbra and of Final Infarct Volume Based on Quantitative Volumetric Analyses of Pre- and Post-treatment Perfusion-weighted and Diffusion-weighted Brain MR Imaging|NIH Stroke Scale Scores|Modified Rankin Scale Score","NYU Langone Health|James N. Kirby Foundation","All","18 Years to 95 Years   (Adult, Older Adult)","Not Applicable","6","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment","08-131","April 2009","December 2009","January 2010","February 4, 2009","April 29, 2016","April 29, 2016","Bellevue Hospital Center, New York, New York, United States|New York University Langone Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00836355"
