"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT01049009","The Effect of Nebivolol on Endothelial Dysfunction in African Americans With Hypertension",,"Completed","Has Results","High Blood Pressure","Drug: Nebivolol|Drug: Metoprolol XL","Endothelial Function Measured by Forearm Blood Flow (FBF) at 12 Weeks|Endothelial Function Measured by Forearm Blood Flow (FBF) at 24 Weeks","Emory University|Forest Laboratories","All","21 Years to 80 Years   (Adult, Older Adult)","Phase 4","91","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","IRB00017946","December 2009","June 2012","June 2012","January 14, 2010","December 19, 2014","April 11, 2017","Emory University, Atlanta, Georgia, United States",,"https://ClinicalTrials.gov/show/NCT01049009"
2,"NCT03459807","Blood Pressure Lowering in Dialysis (BOLD) Trial","BOLD","Completed","No Results Available","Blood Pressure|End Stage Renal Disease on Dialysis (Diagnosis)|Chronic Kidney Diseases|Chronic Kidney Disease Stage 5","Drug: Anti-Hypertensive medications|Procedure: Dry Weight Adjustment","Feasibility - screen:enrollment ratio|Adherence to assigned treatment arm|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]","University of California, San Francisco|University of Washington","All","18 Years to 100 Years   (Adult, Older Adult)","Phase 2","50","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","TBD123","March 23, 2018","December 6, 2018","January 3, 2019","March 9, 2018",,"July 23, 2019","UCSF, San Francisco, California, United States|University of Washington, Seattle, Washington, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT03459807/Prot_SAP_001.pdf|""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/07/NCT03459807/ICF_002.pdf","https://ClinicalTrials.gov/show/NCT03459807"
3,"NCT03629340","Metformin for Pulmonary Hypertension HFpEF",,"Active, not recruiting","No Results Available","Pulmonary Hypertension|Heart Failure","Drug: Metformin|Drug: Placebo oral capsule","The primary endpoint of the trial will be mean pulmonary artery pressure (mPAP) during submaximal exercise as compared between placebo and metformin at 12 weeks (i.e. the week 12 RHC of placebo vs week 12 RHC of metformin).","Marc A. Simon|National Institute on Aging (NIA)|University of Pittsburgh","All","18 Years and older   (Adult, Older Adult)","Phase 2","32","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PRO18030354|R01AG058659","February 26, 2019","June 2023","December 2023","August 14, 2018",,"April 1, 2020","University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03629340"
4,"NCT01779453","A Study of the Safety, Pharmacokinetic Drug Interaction and Efficacy of ETC-1002 and Atorvastatin in Subjects With Hypercholesterolemia",,"Completed","No Results Available","Hypercholesterolemia","Drug: ETC-1002|Drug: Placebo|Drug: Atorvastatin","Area under the plasma concentration versus time curve (AUC) of atorvastatin and its active metabolites|Peak plasma concentration (Cmax) of atorvastatin and its active metabolites|Number of subjects with adverse events, clinical lab abnormalities and other safety findings|Percent change in LDL-C|Percent change in other lipids and cardio-metabolic risk factors","Esperion Therapeutics","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 2","58","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","1002-007","December 2012","August 2013","August 2013","January 30, 2013",,"March 29, 2019","Indianapolis, Indiana, United States|Louisville, Kentucky, United States|Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT01779453"
5,"NCT01007994","Reduction of Night-time Blood Pressure in Pediatric Renal Transplant Recipients",,"Active, not recruiting","No Results Available","Hypertension Secondary to Kidney Transplant","Drug: New Medication: Enalapril, Isradipine, Propranolol","Proportion of subjects in each of the treatment arms who change from non-dipper to dipper status|Change in night-time systolic/diastolic blood pressure|Change in left ventricular mass index|Change in albumin:creatinine ratio|Change in estimated glomerular filtration rate|Change in pulse wave velocity|Association of serum adiponectin levels and SNPs of adiponectin with outcomes","Northwell Health|Children's Hospital of Philadelphia","All","5 Years to 21 Years   (Child, Adult)","Phase 2|Phase 3","33","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","09-054","November 2009","April 2020","April 2020","November 5, 2009",,"May 29, 2019","Cohen Children's Medical Center of NY, New Hyde Park, New York, United States|Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT01007994"
6,"NCT01074918","Potassium-Magnesium Citrate as a Blood Pressure Lowering Agent in Hypertensive Patients",,"Withdrawn","No Results Available","Pre-hypertension|Hypertension","Drug: Potassium, Magnesium, Citrate|Drug: Potassium Chloride","Blood Pressure","University of Texas Southwestern Medical Center","All","21 Years to 95 Years   (Adult, Older Adult)","Phase 1|Phase 2","0","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Supportive Care","012007-080","September 2009","September 2012","December 2012","February 24, 2010",,"February 11, 2019","Dallas VA Medical Center, Dallas, Texas, United States|UT Southwestern Medical Center, Dallas, Texas, United States",,"https://ClinicalTrials.gov/show/NCT01074918"
7,"NCT01897727","Etiology of Sleep Apnea-related Hyperaldosteronism - BP Treatment",,"Completed","Has Results","Obstructive Sleep Apnea|Resistant Hypertension|Hyperaldosteronism","Drug: Spironolactone|Drug: BP medication uptitration","Severity of Obstructive Sleep Apnea","University of Alabama at Birmingham|National Heart, Lung, and Blood Institute (NHLBI)","All","19 Years to 80 Years   (Adult, Older Adult)","Not Applicable","41","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","F080821012|R01HL075614","January 2009","April 2012",,"July 12, 2013","January 15, 2014","January 15, 2014","University of Alabama at Birmingham, Birmingham, Alabama, United States",,"https://ClinicalTrials.gov/show/NCT01897727"
8,"NCT01806324","A Study to Evaluate Pharmacokinetics and Potential Drug Interactions of a Fixed-dose Combination Tablet, HL-040XC, in Healthy Male Subjects",,"Completed","No Results Available","Hypertension|Hyperlipidemia","Drug: HL040XC|Drug: Losartan + Atorvastatin","Cmax|AUC","HanAll BioPharma Co., Ltd.","Male","19 Years to 50 Years   (Adult)","Phase 1","30","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HL-040XC-US-001","April 2012","November 2012","December 2012","March 7, 2013",,"March 7, 2013","Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01806324"
9,"NCT01894217","Statin Therapy to Improve Medication Adherence",,"Completed","No Results Available","Hypercholesterolemia|HMG COA Reductase Inhibitor Adverse Reaction","Genetic: Genetic testing and reporting for SLCO1B1*5 allele","Change in Beliefs about Medicines|Change in Medication adherence|Percentage of patients who meets their National Cholesterol Education Program (NCEP) low-density lipoprotein cholesterol (LDLc)goals|Number of new statin prescriptions written|Patient reported medication utilization, as a surrogate for medication adherence","Duke University","All","18 Years and older   (Adult, Older Adult)","Phase 1","63","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Pro00029836","May 2011","December 2012","April 2014","July 10, 2013",,"January 8, 2015","Duke Center for Living, Durham, North Carolina, United States|Duke Primary Care Clinic at Pickett Road, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT01894217"
10,"NCT01026311","Coenzyme Q10 in Older Athletes Treated With Statin Medications",,"Completed","No Results Available","Muscle Weakness|Myalgia|Side Effects of Statins","Drug: Coenzyme q 10|Drug: placebo","The primary objective of this study is to test if oral coenzyme Q10 is superior to placebo in improving oxygen consumption by mitochondria as measured by cardiopulmonary fitness testing for anaerobic threshold in this population","Richard Deichmann, MD|Ochsner Health System","All","50 Years and older   (Adult, Older Adult)","Phase 4","20","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","09-076","November 2009","March 2011","March 2011","December 4, 2009",,"May 3, 2012","Ochsner, New Orleans, Louisiana, United States",,"https://ClinicalTrials.gov/show/NCT01026311"
11,"NCT02133872","Study 1: Effect of Minocycline Treatment on Drug-Resistant Hypertensive Patients",,"Recruiting","No Results Available","Hypertension","Drug: Minocycline 100mg Group|Drug: Minocycline 200mg Group","Reduction in High Blood Pressure|Renal function changes","University of Florida|National Heart, Lung, and Blood Institute (NHLBI)","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","101","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB2015005 -N|RO1HL3361028|2013-00102 Study 1|1R01HL132448-01","October 2014","May 2020","May 2020","May 8, 2014",,"June 5, 2019","UF Health Cardiovascular Clinic, Gainesville, Florida, United States",,"https://ClinicalTrials.gov/show/NCT02133872"
12,"NCT02489045","Noninvasive Subharmonic Aided Pressure Estimation of Portal Hypertension",,"Completed","No Results Available","Liver Diseases|Portal Hypertension","Drug: SHAPE measurement (Sonazoid ultrasoud contrast agent)","SHAPE liver pressure measurements vs catheter pressures|Correlating SHAPE results with blood work and concomitant imaging in portal hypertension patients","Thomas Jefferson University|University of Pennsylvania|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","21 Years and older   (Adult, Older Adult)","Phase 4","178","Other|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","14F.113|R01DK098526","April 6, 2015","March 31, 2019","March 31, 2019","July 2, 2015",,"September 24, 2019","University of Pennsylvania, Philadelphia, Pennsylvania, United States|Thomas Jefferson University, Dept of Radiology, Philadelphia, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT02489045"
