"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
1,"NCT01556347","Multi-Drug Desensitization Protocol for Heart Transplant Candidates",,"Terminated","Has Results","Heart Transplantation","Drug: Bortezomib, Thymoglobulin, Rituximab, Gamimune N, (IVIG), Plasmapheresis","Percentage of Patients With a Reduction in CPRA to Less Than 20%|Percentage of Patients Transplanted|Percentage of Patients Who Suffer Mortality, a Serious Adverse Event, or Other Adverse Event During the Study Period|Percentage of Patients Who Experience Grade 3 and Above Non-Hematologic Toxicities|The Percentage of Patients Who Experience Any Grade of Peripheral Neuropathy|Percentage of Patients Who Experience CMV, PTLD, and PML|The Percentage of Patients Who Experience Either a Respiratory Tract Infection or a Urinary Tract Infection|The Percentage of Patients Who Experience Exacerbations Cardiac Dysrhythmias or Heart Failure|Percentage of Patients With Grade 4 Hematologic Toxicities|The Percentage of Patients With Antibody Mediated Rejection After Transplantation|Percentage of Patients Who Develop De Novo Alloantibody or DSA Alloantibody After Transplant|Percentage of Patients Post-Transplant That Are DSA Negative|Percentage of Allograft Survival|The Percentage of Allografts That Endure Acute Rejection Within One Year of Transplantation|Percentage of Patients With a CPRA <20%, But Were Not Transplanted During the Study Period|Percentage of Patients Who Receive Transplants Who Then Suffer Serious Post-transplant Complications","Providence Health & Services","All","18 Years to 67 Years   (Adult, Older Adult)","Phase 2","2","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IND110875","July 2012","May 2016","May 2016","March 16, 2012","June 15, 2018","June 15, 2018","Providence Sacred Heart Medical Center, Spokane, Washington, United States",,"https://ClinicalTrials.gov/show/NCT01556347"
2,"NCT03629340","Metformin for Pulmonary Hypertension HFpEF",,"Active, not recruiting","No Results Available","Pulmonary Hypertension|Heart Failure","Drug: Metformin|Drug: Placebo oral capsule","The primary endpoint of the trial will be mean pulmonary artery pressure (mPAP) during submaximal exercise as compared between placebo and metformin at 12 weeks (i.e. the week 12 RHC of placebo vs week 12 RHC of metformin).","Marc A. Simon|National Institute on Aging (NIA)|University of Pittsburgh","All","18 Years and older   (Adult, Older Adult)","Phase 2","32","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","PRO18030354|R01AG058659","February 26, 2019","June 2023","December 2023","August 14, 2018",,"April 1, 2020","University of Pittsburgh Medical Center, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT03629340"
3,"NCT02408432","Bone Marrow Derived Mesenchymal Stem Cells in Improving Heart Function in Patients With Heart Failure Caused by Anthracyclines",,"Recruiting","No Results Available","Cardiomyopathy|Heart Failure","Biological: Mesenchymal Stem Cell Transplantation|Drug: Standard of Care for Heart Failure","Adverse Events of Allogeneic Human Mesenchymal Stem Cells (hMSCs) Determined by CTCAE version 4|Change in Left Ventricular Ejection Fraction (LVEF)","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 1","45","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2014-0519|NCI-2015-00969|P30CA016672","January 11, 2016","January 31, 2023","January 31, 2023","April 3, 2015",,"August 22, 2019","M D Anderson Cancer Center, Houston, Texas, United States",,"https://ClinicalTrials.gov/show/NCT02408432"
4,"NCT03122730","VentaProst Versus Conventionally-Administered Aerosolized Epoprostenol in Patients Undergoing Cardiac Surgery With CPB",,"Completed","No Results Available","Pulmonary Hypertension","Combination Product: VentaProst","Determination of the equivalent dose of VentaProst necessary to achieve a pharmacodynamic response that is comparable to Standard of Care|Treatment-Emergent Adverse Events (TEAEs)|Effects on pulmonary vascular resistance|Effects on oxygenation status|Effects on fraction of inspired oxygen (FiO2)|Effects on cardiovascular medication usage","Aerogen Pharma Limited","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","15","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","APC-VP-CLN-001","August 23, 2017","March 1, 2019","May 30, 2019","April 21, 2017",,"May 31, 2019","Stanford University Medical Center, Stanford, California, United States|Rush University Medical Center, Chicago, Illinois, United States|Tufts Medical Center, Boston, Massachusetts, United States",,"https://ClinicalTrials.gov/show/NCT03122730"
5,"NCT00944229","The Effect of Omega-3 Polyunsaturated Fatty Acids in Congestive Heart Failure",,"Terminated","Has Results","Heart Failure","Drug: LOVAZA (Omega-3)|Drug: Placebo","Change in Peak VO2|Change in Reactive Hyperemia Peripheral Arterial Tonometry (RH-PAT) After 8 Weeks of Omega 3 Supplementation.|Change in Base Line Oxidized Low Density Lipoprotein (LDL) Level and in Response to Exercise","Columbia University|GlaxoSmithKline","All","18 Years and older   (Adult, Older Adult)","Phase 3","58","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","AAAD7501|LVZ112854","January 2010","March 2014","March 2014","July 23, 2009","April 22, 2016","May 25, 2016","Columbia University Medical Center, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT00944229"
6,"NCT01103843","Plavix, Prasugrel and Drug Eluting Stents Pilot Trial","PPD","Unknown status","No Results Available","Coronary Artery Disease|Platelet Aggregation Inhibitors|PCI- Percutaneous Coronary Intervention","Drug: Loading Dose Arm|Drug: Maintenance Dose Arm","Change in platelet reactivity after switching medication regimen of two thienopyridines- clopidogrel and prasugrel|Occurrence of all bleeding events for subjects enrolled into the trial|Occurrence of all MACE events for subjects enrolled into the trial","St. Francis Hospital, New York","All","21 Years to 75 Years   (Adult, Older Adult)","Not Applicable","1000","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","10-006","April 2010","April 2011","May 2011","April 15, 2010",,"April 15, 2010","St. Francis Hospital, Roslyn, New York, United States",,"https://ClinicalTrials.gov/show/NCT01103843"
7,"NCT03939923","Role of Sugammadex as Reversal Agent in Patients Extubated Immediately After Isolated Coronary Artery Bypass Grafting Surgery",,"Active, not recruiting","No Results Available","Surgery|Coronary Artery Disease","Drug: Rocuronium|Drug: Neostigmine|Drug: Glycopyrrolate|Drug: Sugammadex","Time to Extubation|Heart rate|Blood Pressure|Tidal Volume|Peak Flow Rate|Swallowing Capacity","West Virginia University","All","18 Years to 70 Years   (Adult, Older Adult)","Phase 4","84","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Care Provider)|Primary Purpose: Treatment","WVU Protocol #: 1806161309","May 1, 2019","December 2022","December 2022","May 7, 2019",,"May 7, 2019","WVU Medicine, Morgantown, West Virginia, United States",,"https://ClinicalTrials.gov/show/NCT03939923"
8,"NCT01234870","Comprehensive Evaluation of Ischemic Heart Disease Using MRI",,"Completed","Has Results","Heart Disease, Ischemic|Atherosclerosis, Coronary","Drug: Gadolinium|Drug: Adenosine","Magnetic Resonance Image Quality Rating|Number of Participants With Adverse Events to Demonstrate Feasibility of a Comprehensive Cardiac Magnetic Resonance Imaging Protocol","Northwestern University|Astellas Pharma US, Inc.|Bayer Healthcare Pharmaceuticals, Inc./Bayer Schering Pharma","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","40","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","CR1_STU00006013|ASCA-9J02","June 2010","January 2012","January 2012","November 4, 2010","September 26, 2014","September 26, 2014","Northwestern University, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT01234870"
9,"NCT01932606","Acute Effects of Inorganic Nitrite on Cardiovascular Hemodynamics in Heart Failure With Preserved Ejection Fraction",,"Completed","Has Results","Heart Disease|Heart Failure With Preserved Ejection Fraction|Exercise Intolerance|Pulmonary Hypertension","Drug: Nitrite|Drug: Saline Placebo for Nitrite","Exercise Pulmonary Capillary Wedge Pressure (PCWP)|Change in Central Pressures After Study Drug (Resting)|Change in Heart Rate After Study Drug (Resting)|Change in Blood Pressure After Study Drug (Resting)|Change in Pulmonary Vascular Resistance (PVR) After Study Drug (Resting)|Change in Pulmonary Artery (PA) Compliance After Study Drug (Resting)|Change in Systemic Vascular Resistance (SVR) After Study Drug (Resting)|Change in Left Ventricular Stroke Work (LVSW) After Study Drug (Resting)|Change in Oxygen Consumption (VO_2) After Study Drug (Resting)|Change in Arteriovenous Oxygen Content Difference After Study Drug (Resting)|Change in Cardiac Output After Study Drug (Resting)|Change in Stroke Volume After Study Drug (Resting)|Change in Central Pressures After Study Drug (Exercise)|Change in Heart Rate After Study Drug (Exercise)|Change in Blood Pressure After Study Drug (Exercise)|Change in PVR After Study Drug (Exercise)|Change in PA Compliance After Study Drug (Exercise)|Change in SVR After Study Drug (Exercise)|Change in LVSW After Study Drug (Exercise)|Change in Oxygen Consumption (VO_2) After Study Drug (Exercise)|Change in Arteriovenous Oxygen Difference After Study Drug (Exercise)|Change in Cardiac Output After Study Drug (Exercise)|Change in Stroke Volume After Study Drug (Exercise)","Barry Borlaug|Mayo Clinic","All","18 Years and older   (Adult, Older Adult)","Phase 2","28","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","13-004077","August 2013","October 2014","October 2014","August 30, 2013","February 15, 2016","March 14, 2016","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT01932606"
10,"NCT03146741","Zepatier For Treatment Of Hepatitis C-Negative Patients Who Receive Heart Transplants From Hepatitis C-Positive Donors (HCV)","USHER","Completed","Has Results","Heart Failure","Drug: Zepatier","Number of Participants With Post-treatment Sustained Virologic Response (SVR)|Number of Severe Adverse Events (SAE) Attributable to HCV Therapy Post-heart Transplant","University of Pennsylvania|Merck Sharp & Dohme Corp.","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1|Phase 2","20","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","826708","May 16, 2017","September 10, 2019","November 30, 2019","May 10, 2017","February 5, 2020","February 26, 2020","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States","""Informed Consent Form"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03146741/ICF_001.pdf|""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/41/NCT03146741/Prot_SAP_002.pdf","https://ClinicalTrials.gov/show/NCT03146741"
